Date,HE,String,DA Price,RT Price
9/14/2023,23,4008,20.31,24.65
9/14/2023,24,4008,22.86,26.04
9/15/2023,1,4008,23.88,18.51
9/15/2023,2,4008,21.39,19.83
9/15/2023,3,4008,21.27,19.4
9/15/2023,4,4008,21.08,18.07
9/15/2023,5,4008,21.09,19.87
9/15/2023,6,4008,25.15,29.97
9/15/2023,7,4008,33.2,26.2
9/15/2023,8,4008,25.21,34.57
9/15/2023,9,4008,23.1,27.76
9/15/2023,10,4008,22.93,42.9
9/15/2023,11,4008,20.72,38.64
9/15/2023,12,4008,20.87,28.72
9/15/2023,13,4008,21.54,17.44
9/15/2023,14,4008,22.5,17.37
9/15/2023,15,4008,22.64,17.54
9/15/2023,16,4008,22.06,18.59
9/15/2023,17,4008,25,19.94
9/15/2023,18,4008,33.07,31.33
9/15/2023,19,4008,31.23,50.49
9/15/2023,20,4008,26.34,36.83
9/15/2023,21,4008,29.02,25.81
9/15/2023,22,4008,25.17,17.88
9/15/2023,23,4008,20.95,15.88
9/15/2023,24,4008,23.62,17.79
9/16/2023,1,4008,20.31,17.66
9/16/2023,2,4008,18.83,18.78
9/16/2023,3,4008,17.16,16.49
9/16/2023,4,4008,17.09,16.4
9/16/2023,5,4008,17.05,16.16
9/16/2023,6,4008,16.94,16.71
9/16/2023,7,4008,18.18,17.03
9/16/2023,8,4008,21.25,17.57
9/16/2023,9,4008,21.19,15.92
9/16/2023,10,4008,22.03,16.26
9/16/2023,11,4008,18.31,14.65
9/16/2023,12,4008,19.44,14.35
9/16/2023,13,4008,16.72,15.25
9/16/2023,14,4008,17.17,14.17
9/16/2023,15,4008,18.2,14.08
9/16/2023,16,4008,18.11,13.64
9/16/2023,17,4008,25.64,14.24
9/16/2023,18,4008,32.89,28.55
9/16/2023,19,4008,35.96,18.88
9/16/2023,20,4008,33.8,28.03
9/16/2023,21,4008,25.71,23.12
9/16/2023,22,4008,19.46,15.94
9/16/2023,23,4008,17.76,14.91
9/16/2023,24,4008,17.58,12.91
9/17/2023,1,4008,15.02,12.29
9/17/2023,2,4008,15.54,13.38
9/17/2023,3,4008,13.69,12.56
9/17/2023,4,4008,12.52,9.8
9/17/2023,5,4008,12.96,9.43
9/17/2023,6,4008,14.08,10.75
9/17/2023,7,4008,14.03,13.96
9/17/2023,8,4008,14.2,12.28
9/17/2023,9,4008,15.64,10.15
9/17/2023,10,4008,14.95,6.93
9/17/2023,11,4008,15.41,12.02
9/17/2023,12,4008,15.19,12.65
9/17/2023,13,4008,16.2,13.98
9/17/2023,14,4008,21.26,14.23
9/17/2023,15,4008,21.23,13.22
9/17/2023,16,4008,22.8,17.26
9/17/2023,17,4008,30.73,37.08
9/17/2023,18,4008,34.07,25.39
9/17/2023,19,4008,38.16,22.19
9/17/2023,20,4008,36.75,30.52
9/17/2023,21,4008,32.97,26.53
9/17/2023,22,4008,25.88,26.26
9/17/2023,23,4008,22.41,20.15
9/17/2023,24,4008,23.23,17.79
9/18/2023,1,4008,14.97,19.5
9/18/2023,2,4008,13.85,19.19
9/18/2023,3,4008,13.2,16.34
9/18/2023,4,4008,12.93,16.17
9/18/2023,5,4008,13.75,16.18
9/18/2023,6,4008,17.85,41.56
9/18/2023,7,4008,31.35,46.49
9/18/2023,8,4008,27.47,26.58
9/18/2023,9,4008,31.9,26.76
9/18/2023,10,4008,32.8,34.17
9/18/2023,11,4008,29.69,29.47
9/18/2023,12,4008,29.59,33.57
9/18/2023,13,4008,29.2,50.06
9/18/2023,14,4008,31.67,43.69
9/18/2023,15,4008,26.59,30.83
9/18/2023,16,4008,27.97,28.66
9/18/2023,17,4008,27.63,31.07
9/18/2023,18,4008,31.45,34.23
9/18/2023,19,4008,31.92,36.9
9/18/2023,20,4008,30.5,28.81
9/18/2023,21,4008,28.53,28.89
9/18/2023,22,4008,24.37,28.95
9/18/2023,23,4008,20.35,21.61
9/18/2023,24,4008,17.15,19.73
9/19/2023,1,4008,22.37,21.61
9/19/2023,2,4008,21.82,22.13
9/19/2023,3,4008,20.06,20.21
9/19/2023,4,4008,16.82,16.1
9/19/2023,5,4008,19.06,16.55
9/19/2023,6,4008,22.71,15.89
9/19/2023,7,4008,25.08,30.61
9/19/2023,8,4008,31.47,24.02
9/19/2023,9,4008,27.63,20.16
9/19/2023,10,4008,21.72,18.92
9/19/2023,11,4008,21.77,20.93
9/19/2023,12,4008,22.13,21.79
9/19/2023,13,4008,21.36,21.87
9/19/2023,14,4008,20.86,21
9/19/2023,15,4008,22.22,21.24
9/19/2023,16,4008,23.91,21.78
9/19/2023,17,4008,27.98,21.02
9/19/2023,18,4008,36.94,24.35
9/19/2023,19,4008,37.85,23.1
9/19/2023,20,4008,35.37,36.92
9/19/2023,21,4008,34.38,26.33
9/19/2023,22,4008,25.22,21.64
9/19/2023,23,4008,21.98,17.84
9/19/2023,24,4008,19.24,17.91
9/20/2023,1,4008,16.63,15.63
9/20/2023,2,4008,15.44,9.31
9/20/2023,3,4008,14.76,9.48
9/20/2023,4,4008,14.48,14.41
9/20/2023,5,4008,14.8,14.89
9/20/2023,6,4008,18.69,15.87
9/20/2023,7,4008,26.97,47.52
9/20/2023,8,4008,28.31,21.98
9/20/2023,9,4008,22.78,24.65
9/20/2023,10,4008,21.33,17.69
9/20/2023,11,4008,19.16,16.98
9/20/2023,12,4008,19.16,17.76
9/20/2023,13,4008,19.3,19.27
9/20/2023,14,4008,19.34,20.22
9/20/2023,15,4008,20.3,19.39
9/20/2023,16,4008,24.37,19.06
9/20/2023,17,4008,27.82,28.23
9/20/2023,18,4008,36.71,39.36
9/20/2023,19,4008,39.5,41.33
9/20/2023,20,4008,36.39,42.81
9/20/2023,21,4008,32.15,33.45
9/20/2023,22,4008,25.72,31.74
9/20/2023,23,4008,20.82,21.95
9/20/2023,24,4008,20.36,18.94
9/21/2023,1,4008,19.45,22
9/21/2023,2,4008,17.99,18.92
9/21/2023,3,4008,16.34,16.97
9/21/2023,4,4008,16.21,15.93
9/21/2023,5,4008,17.04,16.38
9/21/2023,6,4008,19.57,19.45
9/21/2023,7,4008,26.97,70.4
9/21/2023,8,4008,32.43,49.06
9/21/2023,9,4008,30.71,24.8
9/21/2023,10,4008,23.55,17.31
9/21/2023,11,4008,21.93,17.36
9/21/2023,12,4008,21.61,16.89
9/21/2023,13,4008,21.76,17.77
9/21/2023,14,4008,21.72,19.73
9/21/2023,15,4008,22.72,19.73
9/21/2023,16,4008,22.65,22.14
9/21/2023,17,4008,25.37,30.96
9/21/2023,18,4008,33.34,45.88
9/21/2023,19,4008,33.42,34.56
9/21/2023,20,4008,35.66,35.12
9/21/2023,21,4008,34.08,29.44
9/21/2023,22,4008,29.24,32.58
9/21/2023,23,4008,22.65,24.7
9/21/2023,24,4008,24.45,17.43
9/22/2023,1,4008,22.35,17.65
9/22/2023,2,4008,20.65,15.59
9/22/2023,3,4008,19.04,15.07
9/22/2023,4,4008,18.89,14.41
9/22/2023,5,4008,19.1,15.34
9/22/2023,6,4008,23.44,15.95
9/22/2023,7,4008,32.77,17.4
9/22/2023,8,4008,32.28,18.76
9/22/2023,9,4008,27.3,19.4
9/22/2023,10,4008,23.92,16.73
9/22/2023,11,4008,22.89,15.44
9/22/2023,12,4008,21.98,16.64
9/22/2023,13,4008,21.94,17.09
9/22/2023,14,4008,22.82,16.2
9/22/2023,15,4008,24.75,17.82
9/22/2023,16,4008,31.7,17.58
9/22/2023,17,4008,32.19,18.93
9/22/2023,18,4008,32.37,19.55
9/22/2023,19,4008,32.47,20.12
9/22/2023,20,4008,32.49,21.09
9/22/2023,21,4008,31.88,20.62
9/22/2023,22,4008,26.06,20.51
9/22/2023,23,4008,25.02,18.15
9/22/2023,24,4008,20.91,14.7
9/23/2023,1,4008,15.21,14.81
9/23/2023,2,4008,15.18,14.76
9/23/2023,3,4008,14.7,13.62
9/23/2023,4,4008,13.8,13.19
9/23/2023,5,4008,13.9,13.26
9/23/2023,6,4008,14.67,13.5
9/23/2023,7,4008,12.26,15.74
9/23/2023,8,4008,15.26,17.94
9/23/2023,9,4008,20.24,43.62
9/23/2023,10,4008,26.62,29.54
9/23/2023,11,4008,27.14,21.83
9/23/2023,12,4008,19.82,27.28
9/23/2023,13,4008,19.81,39.9
9/23/2023,14,4008,19.1,28.44
9/23/2023,15,4008,18.34,33.38
9/23/2023,16,4008,18.26,44.86
9/23/2023,17,4008,20.65,30.19
9/23/2023,18,4008,23.13,35.77
9/23/2023,19,4008,25.82,22.02
9/23/2023,20,4008,30,31.46
9/23/2023,21,4008,23.13,26.7
9/23/2023,22,4008,22.83,46.11
9/23/2023,23,4008,18.24,18.13
9/23/2023,24,4008,15.38,15.29
9/24/2023,1,4008,18.38,20.31
9/24/2023,2,4008,13.59,13.9
9/24/2023,3,4008,12.72,12.21
9/24/2023,4,4008,12.51,9.82
9/24/2023,5,4008,12.72,10.86
9/24/2023,6,4008,13.06,10.64
9/24/2023,7,4008,15.64,10.87
9/24/2023,8,4008,17.56,12.53
9/24/2023,9,4008,21.5,15.58
9/24/2023,10,4008,22.66,22.77
9/24/2023,11,4008,22.84,22.66
9/24/2023,12,4008,24.93,25.43
9/24/2023,13,4008,25.17,60.58
9/24/2023,14,4008,26.88,26.94
9/24/2023,15,4008,25.18,32.58
9/24/2023,16,4008,26.57,29.86
9/24/2023,17,4008,31.93,35.34
9/24/2023,18,4008,34.64,37.4
9/24/2023,19,4008,35.65,33.85
9/24/2023,20,4008,36.64,33.23
9/24/2023,21,4008,31.87,27.13
9/24/2023,22,4008,29,17.39
9/24/2023,23,4008,21.79,16.82
9/24/2023,24,4008,17,18.81
9/25/2023,1,4008,17.57,18.18
9/25/2023,2,4008,16.45,16.71
9/25/2023,3,4008,12.81,14.04
9/25/2023,4,4008,12.25,14.06
9/25/2023,5,4008,12.87,14.41
9/25/2023,6,4008,18.44,15.72
9/25/2023,7,4008,28.34,23.83
9/25/2023,8,4008,27.97,33.85
9/25/2023,9,4008,31.2,35.9
9/25/2023,10,4008,31.29,29.6
9/25/2023,11,4008,31.22,38
9/25/2023,12,4008,29.2,34.02
9/25/2023,13,4008,25.69,28.73
9/25/2023,14,4008,26,26.85
9/25/2023,15,4008,26.13,21.75
9/25/2023,16,4008,24.11,23.48
9/25/2023,17,4008,23.03,20.6
9/25/2023,18,4008,31.8,19.55
9/25/2023,19,4008,31.83,23.61
9/25/2023,20,4008,32.13,26.85
9/25/2023,21,4008,30.8,30.46
9/25/2023,22,4008,22.73,29.77
9/25/2023,23,4008,21.48,19.47
9/25/2023,24,4008,18.79,22.01
9/26/2023,1,4008,23.74,18.93
9/26/2023,2,4008,23.07,16.02
9/26/2023,3,4008,23.35,15.31
9/26/2023,4,4008,22.18,15.22
9/26/2023,5,4008,23.87,15.53
9/26/2023,6,4008,24.15,15.66
9/26/2023,7,4008,31.77,16.85
9/26/2023,8,4008,34.13,26.83
9/26/2023,9,4008,31.62,24.18
9/26/2023,10,4008,31.62,20.91
9/26/2023,11,4008,25,21.26
9/26/2023,12,4008,23.18,19.73
9/26/2023,13,4008,22.54,17.98
9/26/2023,14,4008,22.27,17.02
9/26/2023,15,4008,23.72,16.74
9/26/2023,16,4008,22.57,17.28
9/26/2023,17,4008,25.19,17.39
9/26/2023,18,4008,31.96,20.4
9/26/2023,19,4008,32.32,22.94
9/26/2023,20,4008,32.49,26.74
9/26/2023,21,4008,31.61,25.8
9/26/2023,22,4008,26.34,20.17
9/26/2023,23,4008,23.79,18.53
9/26/2023,24,4008,21.74,18.87
9/27/2023,1,4008,19.96,20.57
9/27/2023,2,4008,18.72,19.71
9/27/2023,3,4008,17.42,19
9/27/2023,4,4008,16.98,17.8
9/27/2023,5,4008,18.41,19.41
9/27/2023,6,4008,21.03,21.14
9/27/2023,7,4008,27.92,36.41
9/27/2023,8,4008,34.57,47.6
9/27/2023,9,4008,31.87,22.96
9/27/2023,10,4008,22.81,19.42
9/27/2023,11,4008,21.52,18.32
9/27/2023,12,4008,19.93,18.03
9/27/2023,13,4008,20.43,17.56
9/27/2023,14,4008,20.43,16.95
9/27/2023,15,4008,21.71,16.4
9/27/2023,16,4008,20.22,16.83
9/27/2023,17,4008,23.01,18.4
9/27/2023,18,4008,30.25,24.59
9/27/2023,19,4008,34.15,52.63
9/27/2023,20,4008,35.06,33.24
9/27/2023,21,4008,31.24,27.06
9/27/2023,22,4008,24.45,24.38
9/27/2023,23,4008,21.11,18.9
9/27/2023,24,4008,18.97,17.18
9/28/2023,1,4008,20.8,16.41
9/28/2023,2,4008,20.34,16.81
9/28/2023,3,4008,18.64,16.44
9/28/2023,4,4008,18.03,16.05
9/28/2023,5,4008,19.61,16.49
9/28/2023,6,4008,22.14,17.55
9/28/2023,7,4008,33.26,18.92
9/28/2023,8,4008,38.64,21.61
9/28/2023,9,4008,31.86,22.93
9/28/2023,10,4008,27.74,28.75
9/28/2023,11,4008,24.19,21
9/28/2023,12,4008,23.21,19.35
9/28/2023,13,4008,21.77,18.13
9/28/2023,14,4008,23.07,18.98
9/28/2023,15,4008,23.14,19.15
9/28/2023,16,4008,27.35,21.77
9/28/2023,17,4008,27.59,31.71
9/28/2023,18,4008,35.19,33.1
9/28/2023,19,4008,36.92,30.71
9/28/2023,20,4008,37.93,28.86
9/28/2023,21,4008,36.6,25
9/28/2023,22,4008,29.9,22.65
9/28/2023,23,4008,25.27,19.42
9/28/2023,24,4008,20.62,20.32
9/29/2023,1,4008,21.51,17.27
9/29/2023,2,4008,19.94,15.95
9/29/2023,3,4008,19.15,15.72
9/29/2023,4,4008,18.45,15.7
9/29/2023,5,4008,19.3,15.87
9/29/2023,6,4008,22.8,15.76
9/29/2023,7,4008,26.22,18.82
9/29/2023,8,4008,27.06,26.04
9/29/2023,9,4008,28.63,33.87
9/29/2023,10,4008,30.41,26.85
9/29/2023,11,4008,30.34,27.16
9/29/2023,12,4008,25.57,31.19
9/29/2023,13,4008,26.55,32.39
9/29/2023,14,4008,28.79,33.05
9/29/2023,15,4008,23.1,24.73
9/29/2023,16,4008,22.2,32.01
9/29/2023,17,4008,23.36,25.58
9/29/2023,18,4008,24.15,25.12
9/29/2023,19,4008,25.44,26.75
9/29/2023,20,4008,25.54,30.69
9/29/2023,21,4008,26.08,25.69
9/29/2023,22,4008,25.02,21.91
9/29/2023,23,4008,25.77,37.87
9/29/2023,24,4008,23.65,26.72
9/30/2023,1,4008,20.46,18.6
9/30/2023,2,4008,19.68,17.98
