Date,HE,RT Demand
1/12/2020,9,11195.3
1/12/2020,10,11616.9
1/12/2020,11,11494.53
1/12/2020,12,11384.83
1/12/2020,13,11325.27
1/12/2020,14,11320.04
1/12/2020,15,11635.9
1/12/2020,16,12292.83
1/12/2020,17,13255.1
1/12/2020,18,14353.25
1/12/2020,19,14282.69
1/12/2020,20,13850.86
1/12/2020,21,13308.97
1/12/2020,22,12546.14
1/12/2020,23,11643.92
1/12/2020,24,11007.92
1/13/2020,1,10876.7
1/13/2020,2,10631.62
1/13/2020,3,10578.28
1/13/2020,4,10694.19
1/13/2020,5,11138.57
1/13/2020,6,11963.38
1/13/2020,7,13535.61
1/13/2020,8,14692.21
1/13/2020,9,14909.34
1/13/2020,10,15014.81
1/13/2020,11,15155.3
1/13/2020,12,15222.8
1/13/2020,13,15205.58
1/13/2020,14,15244.83
1/13/2020,15,15197.98
1/13/2020,16,15300.61
1/13/2020,17,15932.1
1/13/2020,18,16585.69
1/13/2020,19,16403.79
1/13/2020,20,15882.14
1/13/2020,21,15184.76
1/13/2020,22,14177.32
1/13/2020,23,13314.91
1/13/2020,24,12271.86
1/14/2020,1,11687.7
1/14/2020,2,11397.63
1/14/2020,3,11219.42
1/14/2020,4,11236.2
1/14/2020,5,11381.11
1/14/2020,6,12358.22
1/14/2020,7,13821.87
1/14/2020,8,14836.88
1/14/2020,9,14939.99
1/14/2020,10,14789.88
1/14/2020,11,14494.58
1/14/2020,12,14436.72
1/14/2020,13,14323.91
1/14/2020,14,14416.83
1/14/2020,15,14527.29
1/14/2020,16,14809.13
1/14/2020,17,15572.77
1/14/2020,18,16272.91
1/14/2020,19,16138.75
1/14/2020,20,15660.47
1/14/2020,21,14987.27
1/14/2020,22,14022.15
1/14/2020,23,12949.15
1/14/2020,24,12200.92
1/15/2020,1,11912.26
1/15/2020,2,11702.56
1/15/2020,3,11559.09
1/15/2020,4,11470.67
1/15/2020,5,11896.12
1/15/2020,6,12410.62
1/15/2020,7,13615.12
1/15/2020,8,14437.04
1/15/2020,9,14174.62
1/15/2020,10,13623.51
1/15/2020,11,13255.16
1/15/2020,12,13367.77
1/15/2020,13,13517.75
1/15/2020,14,13517.03
1/15/2020,15,13662.19
1/15/2020,16,13964.33
1/15/2020,17,14692.52
1/15/2020,18,15713.99
1/15/2020,19,15717.7
1/15/2020,20,15364.89
1/15/2020,21,14801.41
1/15/2020,22,13959.1
1/15/2020,23,13309.03
1/15/2020,24,12351.54
1/16/2020,1,11701.58
1/16/2020,2,11574.81
1/16/2020,3,11653.64
1/16/2020,4,11462.86
1/16/2020,5,11662.39
1/16/2020,6,11990.29
1/16/2020,7,13618.59
1/16/2020,8,14684.43
1/16/2020,9,14920.92
1/16/2020,10,14891.59
1/16/2020,11,14377.77
1/16/2020,12,13995.98
1/16/2020,13,13967.62
1/16/2020,14,14033.37
1/16/2020,15,14182.09
1/16/2020,16,14612.11
1/16/2020,17,15498.14
1/16/2020,18,16513.89
1/16/2020,19,16503.33
1/16/2020,20,16153.21
1/16/2020,21,15604.16
1/16/2020,22,14779.51
1/16/2020,23,13731.38
